,date,data,url,positive,negative,neutral,compound
0,2018-02-09,"The SBI Group on Friday reported a massive Rs. 1,886.57 crore net loss for the December quarter of current fiscal as its bad loans and provisions spiked.It had, in contrast, reported net profit of Rs. 2,152.14 crore for the October-December quarter of the last fiscal, 2016-17.The nation’s largest lender saw its net bad loans ratio spiking to 5.61 per cent of advances, from 4.24 per cent during the third quarter of 2017-18.The gross dud assets ratio jumped meanwhile from 7.23 per cent to cross the double digits mark at 10.35 per cent during the quarter under review.In absolute or gross terms, the bank at the standalone level had Rs. 1,99,141.43 crore of its assets as non- performing, up from Rs. 1,08,172.32 crore in the comparable period in 2016.Similarly, its net non-performing assets almost doubled to Rs. 102,370.12 crore, up from Rs. 61,430.45 crore, State Bank of India said in an exchange filing.The bank saw its non-interest income decline by 29.75 per cent, from Rs. 11,507 crore to Rs. 8,084 crore, as net interest income plunged due to mark-to-market losses from its treasury operations.Similarly, non-fee income fell 18.38 per cent from Rs. 14,401 crore to Rs. 11,755 crore.Fee income rose from Rs. 4,710 crore to Rs. 4,979 crore — a growth of 5.71 per cent.Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/sbi-posts-surprise-q3-loss/article22706343.ece,0.078,0.082,0.84,-0.4389
1,2018-02-12," If the financial performance of India’s largest lender is anything to go by, an end to the severe bad loans crisis may be much farther beyond the horizon than previously anticipated. For the first time in almost 19 years, the State Bank of India reported a quarterly loss of ₹2,416 crore for the three months ended December, compared with a net profit of ₹2,610 crore in the year-earlier period. While the figures are not strictly comparable after SBI completed merger with its associates, the loss was the result of both a massive increase in provisions to account for bad loans and a substantial amount of mark-to-market losses on its holding of government bonds. Provisions for non-performing assets (NPAs) more than doubled to about ₹17,760 crore, from about ₹7,200 crore in the third quarter of 2016-17. On treasury operations, SBI recorded a loss of about ₹3,255 crore, versus a profit of about ₹4,776 crore in the comparable period. The bank revealed that an audit by the Reserve Bank of India showed a divergence of ₹23,239 crore in the way it classified assets at the end of the last financial year, which led to increase in provisions in the last quarter. Most of these reclassified assets are linked to troubled projects in sectors including power and telecom. SBI, of course, is not the only lender to have had its assets forcibly reclassified by the RBI. Private sector lenders have also been found guilty of pushing troubled assets under the carpet until the RBI called their bluff.It may be tempting to believe that last year’s bankruptcy law reforms will soon begin to ease the pain at banks by encouraging the quick sale of assets of troubled borrowers. The proceeds from such sales, however, would likely amount to very little in comparison with the mammoth scale of troubled assets. According to a joint study by Assocham and Crisil, gross NPAs in the banking system are estimated to increase to ₹9.5 lakh crore by March 2018, from ₹8 lakh crore a year earlier. In that case, write-offs recognising losses may be the most honest and practical way to deal with the bad loans problem. So the RBI in the coming months should continue to push banks, both public and private, to promptly recognise the stressed loans on their portfolios. Incidentally, Prime Minister Narendra Modi last week laid the blame for bad loans on the previous government. While it is quite true that the present bad loans crisis has been a long time in the making, the problem of lax corporate governance, which has plagued public sector banks and contributed in no small measure to the present crisis, still remains largely unaddressed by the government. Even the latest plan to recapitalise public sector banks may achieve little more than giving some temporary relief to lenders for the sake of reviving credit growth. The bad loans problem is likely to remain a festering sore and risks undermining the health of the economy until meaningful structural reforms to the banking system are undertaken. Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/opinion/editorial/unending-pain/article22734451.ece,0.096,0.152,0.752,-0.9898
2,2018-03-13," Despite a dip in retail inflation in February, the Reserve Bank of India (RBI) is unlikely to reduce key policy rates in 2018, analysts at brokerages said on Tuesday. Risks like the higher minimum support prices (MSPs) for food grains promised in the budget, according to them, can push up the inflation in the next fiscal year. However, economists at the country’s largest lender, State Bank of India (SBI) said that the “best is yet to come” and the RBI’s inflation targets will be undershot by up to 0.50 percentage points. Terming it as a “challenging period” for the central rate setting panel, Japanese brokerage Nomura said the rising MSPs are a risk and once inflation starts rising from the second quarter, the apex bank would turn more hawkish.“We expect rates to remain on hold throughout 2018 mainly because banking sector risks are still a downside risk to sustainable growth,” it said. Leading domestic credit ratings agency Crisil said while there is an improvement in the growth-inflation mix in numbers released yesterday, it is unlikely to result in any rate cut by the central bank in the next six months. It estimates the headline inflation for financial year 2018-19 at a high 4.6% on rising consumption demand, house rent allowance revisions and elevated crude prices. Retail inflation eased for the second straight month in February to 4.4%, while the factory output growth for January was at a two-month high of 7.5%, according to a data released by the Central Statistics Office (CSO) yesterday. Economists at Singaporean bank DBS also said they continue to expect the RBI to stay put with a pause in 2018. The Rs.13,000-crore scam at the Punjab National Bank (PNB) featured prominently in many commentaries, with the analysts saying that it may hurt the recovery efforts underway in the economy. Nomura said the PNB fraud and the resultant provisioning and the treasury losses are a “downside risk” to growth, while according to DBS, it is a “cog in the wheel of a swift recovery“.State-run SBI highlighted the risks of inflation targeting framework in its note, saying the mark-to-market losses incurred by banks due to tightening of rates on policy expectations have exposed it to risks on the financial stability front. On the factory output growth, SBI said it may touch a double-digit growth for the first time in February. Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Economy/rbi-may-not-cut-rates-in-2018-despite-dip-in-inflation/article23216416.ece,0.081,0.09,0.829,-0.4926
3,2018-06-02," An unidentified man attempted to break into a State Bank of India branch in Coimbatore rural in the early hours of Saturday. The police said that the man escaped after an alarm went off during the attempt. The break-in attempt was reported at Karegoundenpalayam branch of SBI near Kempanaickenpalayam on Kariyampalayam - Karamadai Road around 1.40 a.m. on Saturday. Three persons living close to the bank namely Gopala Rama Krishnan, Karthick Babu and S. Vellingiri woke up after hearing an alarm. Though they thought it was an alarm from police patrol vehicle, they came out to check the source as it continued for nearly 10 minutes. After finding one of the shutters of the bank broken and left half open, Mr. Krishnan called B. Kajendari, who works as sweeper at the bank, over phone and alerted him. The woman in turn informed the manager and cashier of the bank. Meanwhile, Mr. Babu, who has rented space for the bank, alerted the Annur police about the incident. Bank manager M. Harish and cashier rushed to the bank and inspected the place with the police. Bank manager’s cabin, cashier’s room and steel bureaus were found open, while an iron rod was lying near the locker containing cash and jewellery, which the intruder could not break open. The police said that the intruder escaped after the alarm went off while attempting to open the cash locker. According to the police, there was no electricity in the locality from 8 p.m. on Friday and the alarm worked as it had power back up of UPS. The accused had damaged a surveillance camera kept in front of the bank, while three others inside the bank were spared. Scientific team of the police, fingerprint experts and dog squad were pressed into service. Karumathampatty DSP Jayachandran said that the investigation team had got a CCTV footage of the accused. “Bank authorities have said that no money was stolen,” he said. The bank was operated as State Bank of Travancore from 2014 till it merged with SBI in April 2017. Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/news/cities/Coimbatore/man-attempts-to-rob-bank-escapes-after-alarm-goes-off/article24071564.ece,0.011,0.082,0.907,-0.9694
4,2018-02-11,"The country’s largest lender SBI wrote off bad loans worth ₹20,339 crore in 2016-17, the highest among all the public sector banks which had a collective write-off of ₹81,683 crore for the fiscal.The data pertains to the period when the associate banks of State Bank of India (SBI) were not merged with it. Public sector banks’ (PSBs) write-off stood at ₹27,231 crore in 2012-13, government data showed.The figure has jumped almost three-fold in five years.In 2013-14, the state-owned banks wrote off bad loans worth ₹34,409 crore; ₹49,018 crore in 2014-15; ₹57,585 crore in 2015-16, hitting ₹81,683 in the fiscal ended March 2017. In the current financial year, PSBs have written off loans worth ₹53,625 crore in the six months to September.As per data from the Reserve Bank, nine public sector banks, out of the total 21, had gross non-performing asset ratio of above 15% (the percentage of bad loans in terms of total loans outstanding) as of September 30, 2017. Fourteen PSBs have gross non-performing asset ratio of over 12%.PSBs face mounting non-performing assets (NPAs) or bad loans, putting the financial sector under stress. The government has unveiled a ₹2.11 lakh crore capital infusion plan for the PSBs, including via bonds, in the next two years.Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/sbi-wrote-off-bad-loans-worth-more-than-20000-crore-last-fiscal/article22723179.ece,0.068,0.096,0.836,-0.8655
5,2018-01-24,"While most state-run banks that will received capital from the government will use it to meet provisioning requirement for accounts that facing bankruptcy proceedings as mandated by the banking regulator, State Bank of India (SBI)- the country’s largest lender - said the capital will be used to fund loan growth and not for regulatory purpose. P.K. Gupta, managing director of the bank discusses the bank’s plan in a exclusive interview.We were well capitlaised, we did not need the capital immediately. Going forward, for the purpose of funding credit growth, we might have required capital next financial year. So this will help in taking care of further growth capital requirement that we could have.For us this capital is not for regulatory purpose but for growth. For regulatory purpose we are adequately capitalised.As I said, since capital was not a constraint for the bank, we have been doing whatever requirement of credit that was coming to us. But so far the loan demand has been very muted. The demand which we are seeing now, is from the retail side. The corporate demand is very little. Hopefully, next year we will see more corporate demand coming in.We don’t need to raise any further capital immediately. We had also raised Rs 15,000 crore from the market during the current financial year. Also some demonetisation of assets has happened…we did that part sell of SBI Life Insurance.For us, the impact on capital adequacy ratio is about 44 bps points.Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/capital-adequacy-ratio-will-go-up-by-44-bps/article22514704.ece,0.118,0.025,0.857,0.9737
6,2018-03-01,"For the first time in over two years, banks have started increasing the interest rates, indicating a change in the rate cycle.The country’s largest lender, the State Bank of India (SBI), and the largest private sector bank, ICICI Bank, increased lending rates by up to 20 bps (basis points) — a move that will increase equated monthly instalments for home, car loans for its customers.While the SBI has increased the one year marginal cost of funds based lending rate (MCLR) by 20 bps to 8.15%, ICICI Bank hiked it by 10 bps to 8.3%. MCLR is the benchmark rate to which all the loan rates are linked. Rates in all other tenures of MCLR have also been increased. Most loans are linked to one year MCLR. This is the first time banks have increased MCLR since its introduction in April 2016.The new rates, effective from March 1, will be applicable to new customers. For the existing customers, the new rates will come into effect when the interest rates are reset.A 10 bps increase in the lending rate for a ₹10 lakh home loan of 20 years will result in an EMI increase of ₹63.SBI MD P.K. Gupta clarified that while MCLR has gone up by 20 bps, home loan rates for up to ₹30 lakh — that is the affordable housing segment — the increase will be limited to 5 bps.The SBI and the Punjab National Bank (PNB) have also increased the deposit rates by up to 50 bps across various tenures.“The bond yields have gone up by over 50 bps in the last few months. Most of the other banks have increased their deposit rate in the last one month. So when we were comparing our deposit rate with other banks’ rates, we noted the difference has become quite wide. So we decided to realign our [deposit] rates with the market rates,” Mr. Gupta said. “And when you change your deposit rates, the impact is also on the MCLR. The impact of deposit rate hike on MCLR works out to 20 bps.”While the SBI will offer 6.40% interest rate on deposits for one year to 456 days, compared to 6.25% earlier, for deposits of over two years, it will pay 6.5%, compared to 6% earlier.For one-year deposits, the PNB will offer 6.75%, compared to 6.5% earlier.Banks have started raising their lending rates even though the Reserve Bank of India has kept the key policy rate or the repo rate unchanged since August 2017 monetary policy review, when it reduced the interest rates by 25 bps to 6%. While holding the rates steady, the central bank has maintained its neutral stance.However, banks' interest income is under pressure due to rise in bad loans that has lowered their interest earning assets and exerted pressure on net interest margins. Mr. Gupta said that since the lender had hiked both the deposit and lending rates, the impact on margins would not be significant.Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/sbi-icici-bank-hike-lending-rates-emis-to-go-up/article22894870.ece,0.097,0.024,0.879,0.9886
7,2018-04-30," The country’s largest bank, the State Bank of India will not hold its annual meeting in Kolkata this year.It has been SBI’s decades-old tradition to announce its fourth-quarter results and thereby its annual results in the city. There will be a break with this tradition this year, it seems. This was confirmed by senior bank officials although they declined to give details or the factors leading to this major decision. Starting from the Chairman, the entire SBI board and senior management would be present on the occasion, which had also come to be regarded as a major media event.Incidentally there is no legal binding on SBI to hold its annual meet in this city as it is not based here. However this was a time-honoured tradition, maintained for sentimental reasons, which may now come to an end. SBI as it is known now, came into being through an Act of Parliament in May 1955 and through the takeover and integration of the erstwhile Calcutta-based Imperial Bank and some other banks. The Imperial Bank was created in 1921. Suggestions in certain quarters that the logistics and the costs involved in the entire exercise may have triggered the bank to break this tradition was dismissed by financial sector personnel who said that the event could well have been held at its recently operationalised training institute in Rajarhat.Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/sbi-to-skip-annual-meet-in-kolkata/article23731475.ece,0.059,0.009,0.932,0.8832
8,2018-01-30,"State Bank of India (SBI) has introduced a pilot scheme on credit cards for farmers, which extends facilities like lower interest rate besides the normal 40 days’ credit available for credit card users, said chairman Rajnish Kumar.“We have launched this facility on a pilot basis in three States – Rajasthan, Gujarat and Madhya Pradesh. So far, 100 applications have been received. We will go national, based on the response and our own experience,” he told reporters after unveiling two apps, which would enable farmers to enjoy the benefits of online shopping for their farm inputs and produce.Conceived by a Mumbai-based start-up, POORTI Agri Services, the Farmcart and Dealer Bandhu apps are being partnered by SBI which provides the payment gateway. POORTI is led by N. Balasubramanian, ex-chairman of SIDBI, R.G. Rajan, ex-chairman of RCF and NFL, and some senior professionals from banking and other sectors.Answering queries on the scheme , Mr. Kumar said while the present Kisan Credit Card scheme acted like a debit card for farmers, the new one would enable them to purchase farm-related items besides some consumer goods. He said that a major difference between the regular credit cards and the newer one was the interest rates, which would be lower.  Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/sbi-to-provide-credit-cards-to-farmers/article22597344.ece,0.157,0.019,0.825,0.9832
9,2018-03-14,"The Reserve Bank of India’s decision to ban Letters of Undertaking (LoUs) will raise costs for importers and will hurt export competitiveness, says SBI chairman Rajnish Kumar, in an exclusive interview. Edited excerpts:The cost of imports will go up. What was happening was importers, through the route of LoU, they were availing dollar funding which was cheaper than rupee funding. So now, the importer will have an option of either opening a letter of credit, but for that they will need suppliers’ agreement — the supplier should be willing to extend the credit. Or otherwise, they have to fund it through rupee borrowing. So, that will increase the cost. And if they are exporting, then it will impact your export competitiveness also.We have given our claim and all the supporting documents. Hopefully some repayment will happen this month.RBI has asked all the banks to integrate SWIFT with the core banking solution.All banks are now linking SWIFT with CBS.RBI has given a circular to do it by April 30. We will do it by that time.We thoroughly reviewed our LoU portfolio. Risk management in the bank is a continuous process and not a one-day process. Period review, see to it that checks and balances are working, you have to on a continuous basis.There are two ways to look at it. One is there are definitely bring more discipline on the borrowing. Borrowers will be more careful on how they manage their cash flow and the intent will be to repay bank dues in time. However, on certain things probably some relief is required. The Indian Banks’ Association has represented to RBI on these issues. So let RBI examine it and see what comes out.One of the things that the circular says is that before an account is upgraded, 20% has to be paid. I think that is a bit tough requirement. Similarly, if the account is under restructuring and even if there is a delay of one day and then the account has to be referred to NCLT within 15 days.But on the whole, I think this is a step in the right direction. But there are certain things some relaxation is warranted keeping in mind the dynamics of business. Because, at times, it happens that cash flow is temporarily disrupted, which is normal in business. Getting worried immediately because of this is not warranted. If it is persistent problem that if someone is unable to pay on a regular basis, then definitely lenders need to look at it for early resolution.It is going to be difficult for banks on account of both these reasons. But thereafter, things will start returning to normal. By April-May, all the NCLT cases of the first RBI list will have resolution. The impact will be that banks’ gross and net NPAs will start coming down. And certain portion of these assets will get a new management, so that will start become performing. You normally see a negative credit growth in first quarter, but I have a feeling that credit growth will be positive in first quarter.For SBI, our pipeline of stressed assets looks very normal. Our fresh slippages in the next financial year will not exceed 2%.There are certain sectors which are doing well. Like if infrastructure grows, then naturally cement will do well.In steel sector we have seen revival. I am told, housing sector demand is much better starting from January.Automobile sector is doing well. There are many sectors where activity is happening, but what is probably missing is large size projects by the private sector which is because of the over capacity that has been created. Going ahead, we see revival in credit growth.Also, now NCLT resolution will start happening. In many cases, we are at advanced stages of resolution. If that starts happening, then there will be working capital, investment requirements will revive demand.We expect this credit revival in one quarter. Normally, the first quarter of the current financial year is subdued in terms of loan growth, but I am expecting good activity in Q1 because of the resolution.A couple of things have been initiated. Out portfolio strategy has been reworked. April onwards, our budgeting will be risk based . Capital allocation between various business groups, more emphasis on profitability, revamped organizational structure for corporate banking group, a revamped organizational structure for stressed asset group, and roadmap for IT and digitisation will be unveiled from April 1.In our country, people are very sensitive about charges, whether it is banking service or railway ticket. As a bank, we have to take into account customer sentiment. So, there was a demand. We had said we will take into account the demand of the customers, and in response to their demand, this step has been taken.All banks have recently increased their MCLR by 15-20 bps. Interest in the market is also stabilising. Further hardening of rates may not happen.Receive the best of The Hindu delivered to your inbox everyday!Please enter a valid email address.",http://www.thehindu.com/business/Industry/cost-of-import-to-go-up-export-competitiveness-will-impacted/article23246616.ece,0.147,0.06,0.793,0.9978
